thresh_value;img0.jpg_s_count;img0.jpg_v_count;img1.jpg_s_count;img1.jpg_v_count;img2.jpg_s_count;img2.jpg_v_count;img3.jpg_s_count;img3.jpg_v_count;img5.jpg_s_count;img5.jpg_v_count;img6.jpg_s_count;img6.jpg_v_count;img7.jpg_s_count;img7.jpg_v_count;img8.jpg_s_count;img8.jpg_v_count;img9.jpg_s_count;img9.jpg_v_count;img10.jpg_s_count;img10.jpg_v_count;img11.jpg_s_count;img11.jpg_v_count;img12.jpg_s_count;img12.jpg_v_count;img13.jpg_s_count;img13.jpg_v_count;img4.jpg_s_count;img4.jpg_v_count
120;0;20;15;17;0;48;22;17;15;23;7;5;6;1;6;1;11;218;2;16;12;27;10;65;38;6;5;1
121;0;20;14;17;0;45;20;17;15;23;7;5;6;1;6;1;11;211;2;14;11;27;10;75;31;6;5;1
122;0;20;14;15;0;45;18;17;15;23;7;6;6;1;6;1;11;213;2;13;11;27;10;75;29;5;5;1
123;0;20;14;15;0;42;18;17;13;23;7;10;6;1;6;1;11;215;2;10;11;28;10;83;25;5;5;1
124;0;20;14;15;0;43;17;17;13;23;6;11;6;1;6;1;11;213;1;11;10;28;10;95;20;5;5;1
125;0;21;14;14;0;41;17;17;13;22;6;5;6;1;6;1;11;217;1;8;10;28;10;95;16;5;5;1
126;0;21;14;14;0;42;17;17;13;22;6;5;6;1;6;1;10;218;1;9;10;28;10;98;16;5;4;1
127;0;21;14;14;0;39;17;17;13;21;6;4;6;1;6;1;10;210;1;9;10;28;10;99;15;6;4;1
128;0;22;13;14;0;42;17;17;12;21;6;2;6;1;6;1;10;187;0;7;10;28;10;98;13;5;4;1
129;0;22;13;14;0;43;18;17;12;21;6;2;6;1;6;1;10;185;0;6;10;28;10;115;13;3;4;1
130;0;24;13;13;0;53;18;17;12;21;5;3;6;1;6;1;9;175;0;7;10;28;10;121;11;2;4;1
131;0;24;13;13;0;57;18;17;12;21;5;6;6;1;6;1;9;171;0;8;10;28;10;118;11;2;4;1
132;0;21;13;13;0;62;18;17;11;21;5;6;6;1;6;1;9;162;0;7;9;28;10;118;10;2;5;1
133;0;23;13;13;0;56;18;17;11;21;5;3;6;1;6;1;9;151;0;6;8;29;10;116;10;2;5;1
134;0;24;13;13;0;61;18;17;11;21;5;4;6;1;6;1;9;143;0;5;8;29;10;118;10;1;5;1
135;0;23;12;13;0;62;18;17;11;21;5;7;6;1;6;1;9;132;0;6;8;30;10;111;10;1;4;1
136;0;21;12;13;0;70;18;17;11;21;5;4;6;1;6;1;9;124;0;6;8;28;10;106;9;1;4;1
137;0;24;10;13;0;66;18;17;11;21;6;4;6;1;6;1;9;120;0;6;8;28;9;98;8;1;4;1
138;0;25;10;13;0;65;18;17;11;21;6;3;6;1;6;1;9;114;0;6;8;28;9;87;8;1;4;1
139;0;27;10;13;0;68;18;17;11;21;6;6;6;1;6;1;9;107;0;4;8;28;9;80;8;1;4;1
140;0;23;10;13;0;78;18;17;11;21;7;2;6;1;6;1;9;100;0;4;7;29;9;78;7;1;4;1
141;0;27;9;13;0;84;18;17;11;21;6;3;6;1;6;1;9;91;0;5;7;29;9;74;7;1;4;1
142;0;34;9;13;0;74;18;17;12;21;7;6;6;1;6;1;9;82;0;5;7;29;9;64;6;1;4;1
143;0;31;9;13;0;92;18;17;12;21;6;3;6;1;6;1;9;74;0;4;7;29;9;70;6;1;4;1
144;0;20;9;13;0;92;18;17;12;21;6;2;6;1;6;1;9;64;0;4;7;29;9;72;6;1;4;1
145;0;20;8;13;0;89;18;17;12;21;6;3;6;1;6;1;9;50;0;5;7;30;9;66;6;1;3;1
146;0;21;7;13;0;92;18;18;12;21;6;2;6;1;5;1;8;49;0;5;7;29;9;65;6;1;2;1
147;0;20;6;13;0;86;18;19;12;21;6;1;5;1;5;1;8;40;0;5;7;29;9;66;6;1;2;1
148;0;18;6;13;0;78;18;19;12;20;6;1;4;1;6;1;8;32;0;5;7;30;9;66;6;1;2;1
149;0;19;6;13;0;80;18;20;12;19;6;2;4;1;6;1;8;32;0;5;7;29;9;65;6;1;2;1
150;0;24;6;13;0;92;18;23;12;19;6;2;4;1;6;1;9;26;0;3;7;28;9;56;5;1;2;1
